gene	consequence	class_current	blocking_reason	variants
BRCA2	frameshift	LP	RESOLVED_NOT_BLOCKED	2763
BRCA2	frameshift	VUS	MISSING_FUNCTIONAL	181
BRCA2	inframe_deletion	VUS	MISSING_FUNCTIONAL	14599
BRCA2	intronic	VUS	MISSING_FUNCTIONAL	8672
BRCA2	missense	VUS	MISSING_FUNCTIONAL	196692
BRCA2	nonsense	LP	RESOLVED_NOT_BLOCKED	9597
BRCA2	nonsense	VUS	MISSING_FUNCTIONAL	654
BRCA2	splice_acceptor	VUS	MISSING_FUNCTIONAL	208
BRCA2	splice_donor	VUS	MISSING_FUNCTIONAL	208
BRCA2	splice_region	VUS	MISSING_FUNCTIONAL	1396
BRCA2	start_lost	VUS	MISSING_FUNCTIONAL	67
BRCA2	stop_lost	VUS	MISSING_FUNCTIONAL	61
BRCA2	stop_retained	VUS	MISSING_FUNCTIONAL	2
BRCA2	synonymous	VUS	MISSING_FUNCTIONAL	8180
