gene	codes	target	variants
BRCA2	BA1	LB	230647
BRCA2	BS1	LB	224399
BRCA2	BP4	LB	155591
BRCA2	PP3+PS1	LP	136282
BRCA2	PS1	LP	35634
BRCA2	BP4_Splice	LB	11788
BRCA2	BP7	LB	8328
BRCA2	PM5+PS1	LP	4962
BRCA2	BP4+BS1	LB	3210
BRCA2	PP3	LP	3210
BRCA2	PM2_Supporting+PP3_Splice+PS1	LP	1501
BRCA2	PM5+PP3	LP	1339
BRCA2	PM2_Supporting+PP3+PP3_Splice	LP	1303
BRCA2	BP4_Splice+BS1	LB	619
BRCA2	PM2_Supporting+PP3_Splice	LP	619
BRCA2	PVS1	LP	416
BRCA2	PM2_Supporting+PM5+PP3_Splice	LP	64
BRCA2	PM2_Supporting+PM5+PP3+PP3_Splice	LP	63
