gene	codes	target	variants
BRCA1	BA1	LB	128986
BRCA1	BS1	LB	127359
BRCA1	BP4	LB	88413
BRCA1	PM5+PS1	LP	88413
BRCA1	PP3+PS1	LP	88413
BRCA1	PS1	LP	18624
BRCA1	PM5+PP3	LP	18567
BRCA1	BP4_Splice	LB	9873
BRCA1	BP7	LB	4682
BRCA1	PM2_Supporting+PM5+PP3_Splice	LP	1735
BRCA1	PM2_Supporting+PP3+PP3_Splice	LP	1735
BRCA1	PM2_Supporting+PM5+PP3+PP3_Splice	LP	1330
BRCA1	PM2_Supporting+PP3_Splice+PS1	LP	1330
BRCA1	PVS1	LP	352
BRCA1	BP4_Splice+BS1	LB	180
BRCA1	PM2_Supporting+PP3_Splice	LP	180
BRCA1	BP4+BS1	LB	1
BRCA1	PM5	LP	1
BRCA1	PP3	LP	1
